日期,市場,價格
2013-01-04,三民第二,150.0
2013-01-04,左營第四,133.0
2013-01-04,鼓山第三,150.0
2013-01-04,楠梓市場,125.0
2013-01-04,三民第一,150.0
2013-01-04,苓雅市場,150.0
2013-01-04,中華市場,150.0
2013-01-04,旗山第一,110.0
2013-01-04,鳳山第一,0.0
2013-01-04,岡山文賢,150.0
2013-01-04,大寮大發,140.0
2013-01-04,橋頭市場,150.0
2013-01-05,國民市場,166.0
2013-01-05,鹽埕示範,150.0
2013-01-05,新興第二,133.0
2013-01-05,三民第二,150.0
2013-01-05,左營第四,133.0
2013-01-05,鼓山第三,150.0
2013-01-05,楠梓市場,125.0
2013-01-05,三民第一,150.0
2013-01-05,苓雅市場,150.0
2013-01-05,中華市場,150.0
2013-01-05,旗山第一,110.0
2013-01-05,鳳山第一,0.0
2013-01-05,岡山文賢,150.0
2013-01-05,大寮大發,140.0
2013-01-05,橋頭市場,
2013-01-06,國民市場,150.0
2013-01-06,鹽埕示範,150.0
2013-01-06,新興第二,133.0
2013-01-06,三民第二,150.0
2013-01-06,左營第四,133.0
2013-01-06,鼓山第三,150.0
2013-01-06,楠梓市場,125.0
2013-01-06,三民第一,150.0
2013-01-06,苓雅市場,150.0
2013-01-06,中華市場,150.0
2013-01-06,旗山第一,110.0
2013-01-06,鳳山第一,0.0
2013-01-06,岡山文賢,150.0
2013-01-06,大寮大發,140.0
2013-01-06,橋頭市場,150.0
2013-01-07,國民市場,150.0
2013-01-07,鹽埕示範,150.0
2013-01-07,新興第二,133.0
2013-01-07,三民第二,150.0
2013-01-07,左營第四,133.0
2013-01-07,鼓山第三,150.0
2013-01-07,楠梓市場,125.0
2013-01-07,三民第一,150.0
2013-01-07,苓雅市場,150.0
2013-01-07,中華市場,150.0
2013-01-07,旗山第一,110.0
2013-01-07,鳳山第一,0.0
2013-01-07,岡山文賢,150.0
2013-01-07,大寮大發,140.0
2013-01-07,橋頭市場,150.0
2013-01-08,國民市場,150.0
2013-01-08,鹽埕示範,150.0
2013-01-08,新興第二,133.0
2013-01-08,三民第二,150.0
2013-01-08,左營第四,133.0
2013-01-08,鼓山第三,150.0
2013-01-08,楠梓市場,125.0
2013-01-08,三民第一,150.0
2013-01-08,苓雅市場,150.0
2013-01-08,中華市場,150.0
2013-01-08,旗山第一,110.0
2013-01-08,鳳山第一,0.0
2013-01-08,岡山文賢,150.0
2013-01-08,大寮大發,140.0
2013-01-08,橋頭市場,150.0
2013-01-09,國民市場,150.0
2013-01-09,鹽埕示範,150.0
2013-01-09,新興第二,133.0
2013-01-09,三民第二,150.0
2013-01-09,左營第四,133.0
2013-01-09,鼓山第三,150.0
2013-01-09,楠梓市場,125.0
2013-01-09,三民第一,150.0
2013-01-09,苓雅市場,150.0
2013-01-09,中華市場,150.0
2013-01-09,旗山第一,110.0
2013-01-09,鳳山第一,0.0
2013-01-09,岡山文賢,150.0
2013-01-09,大寮大發,150.0
2013-01-09,橋頭市場,150.0
2013-01-10,國民市場,150.0
2013-01-10,鹽埕示範,150.0
2013-01-10,新興第二,133.0
2013-01-10,三民第二,150.0
2013-01-10,左營第四,133.0
2013-01-10,鼓山第三,150.0
2013-01-10,楠梓市場,125.0
2013-01-10,三民第一,150.0
2013-01-10,苓雅市場,150.0
2013-01-10,中華市場,150.0
2013-01-10,旗山第一,110.0
2013-01-10,鳳山第一,0.0
2013-01-10,岡山文賢,150.0
2013-01-10,大寮大發,150.0
2013-01-10,橋頭市場,150.0
2013-01-11,國民市場,150.0
2013-01-11,鹽埕示範,150.0
2013-01-11,新興第二,133.0
2013-01-11,三民第二,150.0
2013-01-11,左營第四,133.0
2013-01-11,鼓山第三,150.0
2013-01-11,楠梓市場,125.0
2013-01-11,三民第一,150.0
2013-01-11,苓雅市場,150.0
2013-01-11,中華市場,150.0
2013-01-11,旗山第一,110.0
2013-01-11,鳳山第一,0.0
2013-01-11,岡山文賢,150.0
2013-01-11,大寮大發,150.0
2013-01-11,橋頭市場,150.0
2013-01-12,國民市場,150.0
2013-01-12,鹽埕示範,150.0
2013-01-12,新興第二,133.0
2013-01-12,三民第二,150.0
2013-01-12,左營第四,133.0
2013-01-12,鼓山第三,150.0
2013-01-12,楠梓市場,125.0
2013-01-12,三民第一,150.0
2013-01-12,苓雅市場,150.0
2013-01-12,中華市場,150.0
2013-01-12,旗山第一,110.0
2013-01-12,鳳山第一,0.0
2013-01-12,岡山文賢,150.0
2013-01-12,大寮大發,150.0
2013-01-12,橋頭市場,150.0
2013-01-13,國民市場,150.0
2013-01-13,鹽埕示範,150.0
2013-01-13,新興第二,133.0
2013-01-13,三民第二,150.0
2013-01-13,左營第四,133.0
2013-01-13,鼓山第三,150.0
2013-01-13,楠梓市場,125.0
2013-01-13,三民第一,150.0
2013-01-13,苓雅市場,150.0
2013-01-13,中華市場,150.0
2013-01-13,旗山第一,110.0
2013-01-13,鳳山第一,0.0
2013-01-13,岡山文賢,150.0
2013-01-13,大寮大發,150.0
2013-01-13,橋頭市場,150.0
2013-01-14,國民市場,150.0
2013-01-14,鹽埕示範,150.0
2013-01-14,新興第二,133.0
2013-01-14,三民第二,150.0
2013-01-14,左營第四,133.0
2013-01-14,鼓山第三,125.0
2013-01-14,楠梓市場,125.0
2013-01-14,三民第一,150.0
2013-01-14,苓雅市場,150.0
2013-01-14,中華市場,150.0
2013-01-14,旗山第一,110.0
2013-01-14,鳳山第一,0.0
2013-01-14,岡山文賢,150.0
2013-01-14,大寮大發,150.0
2013-01-14,橋頭市場,150.0
2013-01-15,國民市場,150.0
2013-01-15,鹽埕示範,150.0
2013-01-15,新興第二,133.0
2013-01-15,三民第二,150.0
2013-01-15,左營第四,133.0
2013-01-15,鼓山第三,125.0
2013-01-15,楠梓市場,125.0
2013-01-15,三民第一,150.0
2013-01-15,苓雅市場,150.0
2013-01-15,中華市場,150.0
2013-01-15,旗山第一,110.0
2013-01-15,鳳山第一,0.0
2013-01-15,岡山文賢,150.0
2013-01-15,大寮大發,150.0
2013-01-15,橋頭市場,150.0
2013-01-16,國民市場,150.0
2013-01-16,鹽埕示範,150.0
2013-01-16,新興第二,133.0
2013-01-16,三民第二,150.0
2013-01-16,左營第四,133.0
2013-01-16,鼓山第三,125.0
2013-01-16,楠梓市場,125.0
2013-01-16,三民第一,150.0
2013-01-16,苓雅市場,150.0
2013-01-16,中華市場,150.0
2013-01-16,旗山第一,110.0
2013-01-16,鳳山第一,0.0
2013-01-16,岡山文賢,150.0
2013-01-16,大寮大發,150.0
2013-01-16,橋頭市場,150.0
2013-01-17,國民市場,150.0
2013-01-17,鹽埕示範,150.0
2013-01-17,新興第二,133.0
2013-01-17,三民第二,150.0
2013-01-17,左營第四,133.0
2013-01-17,鼓山第三,125.0
2013-01-17,楠梓市場,125.0
2013-01-17,三民第一,150.0
2013-01-17,苓雅市場,150.0
2013-01-17,中華市場,150.0
2013-01-17,旗山第一,110.0
2013-01-17,鳳山第一,0.0
2013-01-17,岡山文賢,150.0
2013-01-17,大寮大發,150.0
2013-01-17,橋頭市場,150.0
2013-01-18,國民市場,150.0
2013-01-18,鹽埕示範,150.0
2013-01-18,新興第二,133.0
2013-01-18,三民第二,150.0
2013-01-18,左營第四,133.0
2013-01-18,鼓山第三,125.0
2013-01-18,楠梓市場,125.0
2013-01-18,三民第一,150.0
2013-01-18,苓雅市場,150.0
2013-01-18,中華市場,150.0
2013-01-18,旗山第一,110.0
2013-01-18,鳳山第一,0.0
2013-01-18,岡山文賢,150.0
2013-01-18,大寮大發,150.0
2013-01-18,橋頭市場,150.0
2013-01-19,國民市場,150.0
2013-01-19,鹽埕示範,150.0
2013-01-19,新興第二,133.0
2013-01-19,三民第二,150.0
2013-01-19,左營第四,133.0
2013-01-19,鼓山第三,125.0
2013-01-19,楠梓市場,125.0
2013-01-19,三民第一,150.0
2013-01-19,苓雅市場,150.0
2013-01-19,中華市場,150.0
2013-01-19,旗山第一,110.0
2013-01-19,鳳山第一,0.0
2013-01-19,岡山文賢,150.0
2013-01-19,大寮大發,150.0
2013-01-19,橋頭市場,150.0
2013-01-20,國民市場,150.0
2013-01-20,鹽埕示範,150.0
2013-01-20,新興第二,133.0
2013-01-20,三民第二,150.0
2013-01-20,左營第四,133.0
2013-01-20,鼓山第三,125.0
2013-01-20,楠梓市場,125.0
2013-01-20,三民第一,150.0
2013-01-20,苓雅市場,150.0
2013-01-20,中華市場,150.0
2013-01-20,旗山第一,133.0
2013-01-20,鳳山第一,0.0
2013-01-20,岡山文賢,150.0
2013-01-20,大寮大發,150.0
2013-01-20,橋頭市場,150.0
2013-01-21,國民市場,150.0
2013-01-21,鹽埕示範,150.0
2013-01-21,新興第二,133.0
2013-01-21,三民第二,166.0
2013-01-21,左營第四,133.0
2013-01-21,鼓山第三,125.0
2013-01-21,楠梓市場,125.0
2013-01-21,三民第一,150.0
2013-01-21,苓雅市場,150.0
2013-01-21,中華市場,150.0
2013-01-21,旗山第一,133.0
2013-01-21,鳳山第一,0.0
2013-01-21,岡山文賢,132.0
2013-01-21,大寮大發,150.0
2013-01-21,橋頭市場,150.0
2013-01-22,國民市場,150.0
2013-01-22,鹽埕示範,150.0
2013-01-22,新興第二,133.0
2013-01-22,三民第二,166.0
2013-01-22,左營第四,133.0
2013-01-22,鼓山第三,125.0
2013-01-22,楠梓市場,125.0
2013-01-22,三民第一,150.0
2013-01-22,苓雅市場,150.0
2013-01-22,中華市場,150.0
2013-01-22,旗山第一,133.0
2013-01-22,鳳山第一,0.0
2013-01-22,岡山文賢,132.0
2013-01-22,大寮大發,135.0
2013-01-22,橋頭市場,150.0
2013-01-23,國民市場,150.0
2013-01-23,鹽埕示範,133.0
2013-01-23,新興第二,133.0
2013-01-23,三民第二,166.0
2013-01-23,左營第四,133.0
2013-01-23,鼓山第三,125.0
2013-01-23,楠梓市場,133.0
2013-01-23,三民第一,150.0
2013-01-23,苓雅市場,150.0
2013-01-23,中華市場,150.0
2013-01-23,旗山第一,133.0
2013-01-23,鳳山第一,0.0
2013-01-23,岡山文賢,132.0
2013-01-23,大寮大發,135.0
2013-01-23,橋頭市場,150.0
2013-01-24,國民市場,150.0
2013-01-24,鹽埕示範,133.0
2013-01-24,新興第二,133.0
2013-01-24,三民第二,150.0
2013-01-24,左營第四,133.0
2013-01-24,鼓山第三,125.0
2013-01-24,楠梓市場,133.0
2013-01-24,三民第一,150.0
2013-01-24,苓雅市場,150.0
2013-01-24,中華市場,150.0
2013-01-24,旗山第一,150.0
2013-01-24,鳳山第一,0.0
2013-01-24,岡山文賢,132.0
2013-01-24,大寮大發,133.0
2013-01-24,橋頭市場,150.0
2013-01-25,國民市場,150.0
2013-01-25,鹽埕示範,133.0
2013-01-25,新興第二,133.0
2013-01-25,三民第二,150.0
2013-01-25,左營第四,133.0
2013-01-25,鼓山第三,125.0
2013-01-25,楠梓市場,133.0
2013-01-25,三民第一,150.0
2013-01-25,苓雅市場,150.0
2013-01-25,中華市場,150.0
2013-01-25,旗山第一,142.0
2013-01-25,鳳山第一,0.0
2013-01-25,岡山文賢,132.0
2013-01-25,大寮大發,133.0
2013-01-25,橋頭市場,150.0
2013-01-26,國民市場,150.0
2013-01-26,鹽埕示範,133.0
2013-01-26,新興第二,133.0
2013-01-26,三民第二,150.0
2013-01-26,左營第四,133.0
2013-01-26,鼓山第三,125.0
2013-01-26,楠梓市場,133.0
2013-01-26,三民第一,150.0
2013-01-26,苓雅市場,150.0
2013-01-26,中華市場,150.0
2013-01-26,旗山第一,142.0
2013-01-26,鳳山第一,0.0
2013-01-26,岡山文賢,132.0
2013-01-26,大寮大發,133.0
2013-01-26,橋頭市場,150.0
2013-01-27,國民市場,150.0
2013-01-27,鹽埕示範,133.0
2013-01-27,新興第二,133.0
2013-01-27,三民第二,150.0
2013-01-27,左營第四,133.0
2013-01-27,鼓山第三,125.0
2013-01-27,楠梓市場,133.0
2013-01-27,三民第一,150.0
2013-01-27,苓雅市場,150.0
2013-01-27,中華市場,150.0
2013-01-27,旗山第一,142.0
2013-01-27,鳳山第一,0.0
2013-01-27,岡山文賢,132.0
2013-01-27,大寮大發,0.0
2013-01-27,橋頭市場,150.0
2013-01-28,國民市場,
2013-01-28,鹽埕示範,
2013-01-28,新興第二,
2013-01-28,三民第二,
2013-01-28,左營第四,
2013-01-28,鼓山第三,
2013-01-28,楠梓市場,
2013-01-28,三民第一,
2013-01-28,苓雅市場,150.0
2013-01-28,中華市場,150.0
2013-01-28,旗山第一,142.0
2013-01-28,鳳山第一,
2013-01-28,岡山文賢,132.0
2013-01-28,大寮大發,
2013-01-28,橋頭市場,
2013-01-29,國民市場,150.0
2013-01-29,鹽埕示範,133.0
2013-01-29,新興第二,133.0
2013-01-29,三民第二,133.0
2013-01-29,左營第四,133.0
2013-01-29,鼓山第三,125.0
2013-01-29,楠梓市場,133.0
2013-01-29,三民第一,150.0
2013-01-29,苓雅市場,150.0
2013-01-29,中華市場,150.0
2013-01-29,旗山第一,142.0
2013-01-29,鳳山第一,0.0
2013-01-29,岡山文賢,133.0
2013-01-29,大寮大發,0.0
2013-01-29,橋頭市場,150.0
2013-01-30,國民市場,150.0
2013-01-30,鹽埕示範,133.0
2013-01-30,新興第二,133.0
2013-01-30,三民第二,133.0
2013-01-30,左營第四,133.0
2013-01-30,鼓山第三,125.0
2013-01-30,楠梓市場,150.0
2013-01-30,三民第一,150.0
2013-01-30,苓雅市場,150.0
2013-01-30,中華市場,150.0
2013-01-30,旗山第一,133.0
2013-01-30,鳳山第一,0.0
2013-01-30,岡山文賢,133.0
2013-01-30,大寮大發,0.0
2013-01-30,橋頭市場,150.0
2013-01-31,國民市場,150.0
2013-01-31,鹽埕示範,133.0
2013-01-31,新興第二,133.0
2013-01-31,三民第二,133.0
2013-01-31,左營第四,133.0
2013-01-31,鼓山第三,150.0
2013-01-31,楠梓市場,150.0
2013-01-31,三民第一,150.0
2013-01-31,苓雅市場,150.0
2013-01-31,中華市場,150.0
2013-01-31,旗山第一,133.0
2013-01-31,鳳山第一,0.0
2013-01-31,岡山文賢,133.0
2013-01-31,大寮大發,0.0
2013-01-31,橋頭市場,150.0
2013-02-01,國民市場,150.0
2013-02-01,鹽埕示範,133.0
2013-02-01,新興第二,133.0
2013-02-01,三民第二,150.0
2013-02-01,左營第四,133.0
2013-02-01,鼓山第三,150.0
2013-02-01,楠梓市場,150.0
2013-02-01,三民第一,150.0
2013-02-01,苓雅市場,150.0
2013-02-01,中華市場,150.0
2013-02-01,旗山第一,133.0
2013-02-01,鳳山第一,0.0
2013-02-01,岡山文賢,133.0
2013-02-01,大寮大發,0.0
2013-02-01,橋頭市場,150.0
2013-02-02,國民市場,150.0
2013-02-02,鹽埕示範,133.0
2013-02-02,新興第二,133.0
2013-02-02,三民第二,150.0
2013-02-02,左營第四,133.0
2013-02-02,鼓山第三,150.0
2013-02-02,楠梓市場,150.0
2013-02-02,三民第一,150.0
2013-02-02,苓雅市場,150.0
2013-02-02,中華市場,150.0
2013-02-02,旗山第一,133.0
2013-02-02,鳳山第一,0.0
2013-02-02,岡山文賢,133.0
2013-02-02,大寮大發,0.0
2013-02-02,橋頭市場,108.0
2013-02-03,國民市場,150.0
2013-02-03,鹽埕示範,133.0
2013-02-03,新興第二,133.0
2013-02-03,三民第二,150.0
2013-02-03,左營第四,133.0
2013-02-03,鼓山第三,150.0
2013-02-03,楠梓市場,150.0
2013-02-03,三民第一,133.0
2013-02-03,苓雅市場,150.0
2013-02-03,中華市場,150.0
2013-02-03,旗山第一,133.0
2013-02-03,鳳山第一,0.0
2013-02-03,岡山文賢,133.0
2013-02-03,大寮大發,0.0
2013-02-03,橋頭市場,108.0
2013-02-04,國民市場,150.0
2013-02-04,鹽埕示範,133.0
2013-02-04,新興第二,133.0
2013-02-04,三民第二,150.0
2013-02-04,左營第四,133.0
2013-02-04,鼓山第三,150.0
2013-02-04,楠梓市場,150.0
2013-02-04,三民第一,150.0
2013-02-04,苓雅市場,150.0
2013-02-04,中華市場,150.0
2013-02-04,旗山第一,133.0
2013-02-04,鳳山第一,0.0
2013-02-04,岡山文賢,133.0
2013-02-04,大寮大發,0.0
2013-02-04,橋頭市場,108.0
2013-02-05,國民市場,150.0
2013-02-05,鹽埕示範,133.0
2013-02-05,新興第二,133.0
2013-02-05,三民第二,150.0
2013-02-05,左營第四,133.0
2013-02-05,鼓山第三,150.0
2013-02-05,楠梓市場,150.0
2013-02-05,三民第一,150.0
2013-02-05,苓雅市場,150.0
2013-02-05,中華市場,150.0
2013-02-05,旗山第一,133.0
2013-02-05,鳳山第一,0.0
2013-02-05,岡山文賢,133.0
2013-02-05,大寮大發,0.0
2013-02-05,橋頭市場,150.0
2013-02-06,國民市場,150.0
2013-02-06,鹽埕示範,133.0
2013-02-06,新興第二,133.0
2013-02-06,三民第二,133.0
2013-02-06,左營第四,133.0
2013-02-06,鼓山第三,150.0
2013-02-06,楠梓市場,150.0
2013-02-06,三民第一,150.0
2013-02-06,苓雅市場,150.0
2013-02-06,中華市場,150.0
2013-02-06,旗山第一,133.0
2013-02-06,鳳山第一,0.0
2013-02-06,岡山文賢,167.0
2013-02-06,大寮大發,0.0
2013-02-06,橋頭市場,150.0
2013-02-07,國民市場,150.0
2013-02-07,鹽埕示範,133.0
2013-02-07,新興第二,133.0
2013-02-07,三民第二,133.0
2013-02-07,左營第四,133.0
2013-02-07,鼓山第三,150.0
2013-02-07,楠梓市場,150.0
2013-02-07,三民第一,150.0
2013-02-07,苓雅市場,150.0
2013-02-07,中華市場,150.0
2013-02-07,旗山第一,133.0
2013-02-07,鳳山第一,0.0
2013-02-07,岡山文賢,
2013-02-07,大寮大發,0.0
2013-02-07,橋頭市場,150.0
2013-02-08,國民市場,150.0
2013-02-08,鹽埕示範,133.0
2013-02-08,新興第二,133.0
2013-02-08,三民第二,150.0
2013-02-08,左營第四,133.0
2013-02-08,鼓山第三,150.0
2013-02-08,楠梓市場,133.0
2013-02-08,三民第一,150.0
2013-02-08,苓雅市場,150.0
2013-02-08,中華市場,150.0
2013-02-08,旗山第一,133.0
2013-02-08,鳳山第一,0.0
2013-02-08,岡山文賢,167.0
2013-02-08,大寮大發,0.0
2013-02-08,橋頭市場,150.0
2013-02-09,國民市場,
2013-02-09,鹽埕示範,
2013-02-09,新興第二,
2013-02-09,三民第二,
2013-02-09,左營第四,
2013-02-09,鼓山第三,
2013-02-09,楠梓市場,
2013-02-09,三民第一,
2013-02-09,苓雅市場,
2013-02-09,中華市場,
2013-02-09,旗山第一,
2013-02-09,鳳山第一,
2013-02-09,岡山文賢,167.0
2013-02-09,大寮大發,
2013-02-09,橋頭市場,
2013-02-10,國民市場,
2013-02-10,鹽埕示範,
2013-02-10,新興第二,
2013-02-10,三民第二,
2013-02-10,左營第四,
2013-02-10,鼓山第三,
2013-02-10,楠梓市場,
2013-02-10,三民第一,
2013-02-10,苓雅市場,
2013-02-10,中華市場,
2013-02-10,旗山第一,
2013-02-10,鳳山第一,
2013-02-10,岡山文賢,
2013-02-10,大寮大發,
2013-02-10,橋頭市場,
2013-02-11,國民市場,
2013-02-11,鹽埕示範,
2013-02-11,新興第二,
2013-02-11,三民第二,
2013-02-11,左營第四,
2013-02-11,鼓山第三,
2013-02-11,楠梓市場,
2013-02-11,三民第一,
2013-02-11,苓雅市場,
2013-02-11,中華市場,
2013-02-11,旗山第一,
2013-02-11,鳳山第一,
2013-02-11,岡山文賢,
2013-02-11,大寮大發,
2013-02-11,橋頭市場,
2013-02-12,國民市場,
2013-02-12,鹽埕示範,
2013-02-12,新興第二,
2013-02-12,三民第二,
2013-02-12,左營第四,
2013-02-12,鼓山第三,
2013-02-12,楠梓市場,
2013-02-12,三民第一,
2013-02-12,苓雅市場,
2013-02-12,中華市場,
2013-02-12,旗山第一,
2013-02-12,鳳山第一,
2013-02-12,岡山文賢,
2013-02-12,大寮大發,
2013-02-12,橋頭市場,
2013-02-13,國民市場,
2013-02-13,鹽埕示範,
2013-02-13,新興第二,
2013-02-13,三民第二,
2013-02-13,左營第四,
2013-02-13,鼓山第三,
2013-02-13,楠梓市場,
2013-02-13,三民第一,
2013-02-13,苓雅市場,
2013-02-13,中華市場,
2013-02-13,旗山第一,
2013-02-13,鳳山第一,
2013-02-13,岡山文賢,
2013-02-13,大寮大發,
2013-02-13,橋頭市場,
2013-02-14,國民市場,
2013-02-14,鹽埕示範,
2013-02-14,新興第二,
2013-02-14,三民第二,
2013-02-14,左營第四,
2013-02-14,鼓山第三,
2013-02-14,楠梓市場,
2013-02-14,三民第一,
2013-02-14,苓雅市場,
2013-02-14,中華市場,
2013-02-14,旗山第一,
2013-02-14,鳳山第一,
2013-02-14,岡山文賢,
2013-02-14,大寮大發,
2013-02-14,橋頭市場,
2013-02-15,國民市場,
2013-02-15,鹽埕示範,
2013-02-15,新興第二,133.0
2013-02-15,三民第二,
2013-02-15,左營第四,
2013-02-15,鼓山第三,
2013-02-15,楠梓市場,
2013-02-15,三民第一,150.0
2013-02-15,苓雅市場,
2013-02-15,中華市場,
2013-02-15,旗山第一,
2013-02-15,鳳山第一,
2013-02-15,岡山文賢,
2013-02-15,大寮大發,
2013-02-15,橋頭市場,
2013-02-17,國民市場,
2013-02-17,鹽埕示範,
2013-02-17,新興第二,133.0
2013-02-17,三民第二,
2013-02-17,左營第四,
2013-02-17,鼓山第三,
2013-02-17,楠梓市場,
2013-02-17,三民第一,
2013-02-17,苓雅市場,
2013-02-17,中華市場,
2013-02-17,旗山第一,
2013-02-17,鳳山第一,
2013-02-17,岡山文賢,
2013-02-17,大寮大發,
2013-02-17,橋頭市場,
2013-02-18,國民市場,133.0
2013-02-18,鹽埕示範,133.0
2013-02-18,新興第二,133.0
2013-02-18,三民第二,133.0
2013-02-18,左營第四,133.0
2013-02-18,鼓山第三,150.0
2013-02-18,楠梓市場,133.0
2013-02-18,三民第一,150.0
2013-02-18,苓雅市場,150.0
2013-02-18,中華市場,150.0
2013-02-18,旗山第一,133.0
2013-02-18,鳳山第一,0.0
2013-02-18,岡山文賢,167.0
2013-02-18,大寮大發,0.0
2013-02-18,橋頭市場,150.0
2013-02-19,國民市場,133.0
2013-02-19,鹽埕示範,133.0
2013-02-19,新興第二,133.0
2013-02-19,三民第二,133.0
2013-02-19,左營第四,133.0
2013-02-19,鼓山第三,150.0
2013-02-19,楠梓市場,133.0
2013-02-19,三民第一,150.0
2013-02-19,苓雅市場,150.0
2013-02-19,中華市場,150.0
2013-02-19,旗山第一,150.0
2013-02-19,鳳山第一,0.0
2013-02-19,岡山文賢,167.0
2013-02-19,大寮大發,0.0
2013-02-19,橋頭市場,150.0
2013-02-20,國民市場,133.0
2013-02-20,鹽埕示範,133.0
2013-02-20,新興第二,133.0
2013-02-20,三民第二,150.0
2013-02-20,左營第四,133.0
2013-02-20,鼓山第三,150.0
2013-02-20,楠梓市場,133.0
2013-02-20,三民第一,150.0
2013-02-20,苓雅市場,150.0
2013-02-20,中華市場,150.0
2013-02-20,旗山第一,150.0
2013-02-20,鳳山第一,0.0
2013-02-20,岡山文賢,167.0
2013-02-20,大寮大發,0.0
2013-02-20,橋頭市場,150.0
2013-02-21,國民市場,150.0
2013-02-21,鹽埕示範,133.0
2013-02-21,新興第二,133.0
2013-02-21,三民第二,133.0
2013-02-21,左營第四,133.0
2013-02-21,鼓山第三,150.0
2013-02-21,楠梓市場,133.0
2013-02-21,三民第一,150.0
2013-02-21,苓雅市場,150.0
2013-02-21,中華市場,150.0
2013-02-21,旗山第一,150.0
2013-02-21,鳳山第一,0.0
2013-02-21,岡山文賢,167.0
2013-02-21,大寮大發,0.0
2013-02-21,橋頭市場,150.0
2013-02-22,國民市場,150.0
2013-02-22,鹽埕示範,133.0
2013-02-22,新興第二,133.0
2013-02-22,三民第二,133.0
2013-02-22,左營第四,133.0
2013-02-22,鼓山第三,150.0
2013-02-22,楠梓市場,133.0
2013-02-22,三民第一,100.0
2013-02-22,苓雅市場,150.0
2013-02-22,中華市場,150.0
2013-02-22,旗山第一,150.0
2013-02-22,鳳山第一,0.0
2013-02-22,岡山文賢,167.0
2013-02-22,大寮大發,0.0
2013-02-22,橋頭市場,150.0
2013-02-23,國民市場,150.0
2013-02-23,鹽埕示範,133.0
2013-02-23,新興第二,133.0
2013-02-23,三民第二,150.0
2013-02-23,左營第四,133.0
2013-02-23,鼓山第三,150.0
2013-02-23,楠梓市場,133.0
2013-02-23,三民第一,100.0
2013-02-23,苓雅市場,150.0
2013-02-23,中華市場,150.0
2013-02-23,旗山第一,150.0
2013-02-23,鳳山第一,0.0
2013-02-23,岡山文賢,167.0
2013-02-23,大寮大發,0.0
2013-02-23,橋頭市場,150.0
2013-02-24,國民市場,150.0
2013-02-24,鹽埕示範,133.0
2013-02-24,新興第二,133.0
2013-02-24,三民第二,150.0
2013-02-24,左營第四,133.0
2013-02-24,鼓山第三,150.0
2013-02-24,楠梓市場,133.0
2013-02-24,三民第一,100.0
2013-02-24,苓雅市場,150.0
2013-02-24,中華市場,150.0
2013-02-24,旗山第一,150.0
2013-02-24,鳳山第一,
2013-02-24,岡山文賢,
2013-02-24,大寮大發,0.0
2013-02-24,橋頭市場,150.0
2013-02-25,國民市場,133.0
2013-02-25,鹽埕示範,133.0
2013-02-25,新興第二,117.0
2013-02-25,三民第二,150.0
2013-02-25,左營第四,133.0
2013-02-25,鼓山第三,150.0
2013-02-25,楠梓市場,133.0
2013-02-25,三民第一,100.0
2013-02-25,苓雅市場,150.0
2013-02-25,中華市場,150.0
2013-02-25,旗山第一,150.0
2013-02-25,鳳山第一,0.0
2013-02-25,岡山文賢,167.0
2013-02-25,大寮大發,0.0
2013-02-25,橋頭市場,150.0
2013-02-26,國民市場,
2013-02-26,鹽埕示範,
2013-02-26,新興第二,
2013-02-26,三民第二,
2013-02-26,左營第四,
2013-02-26,鼓山第三,
2013-02-26,楠梓市場,
2013-02-26,三民第一,
2013-02-26,苓雅市場,
2013-02-26,中華市場,
2013-02-26,旗山第一,150.0
